enrollmentNumber,firstName,lastName,email,phone,course,batch,admissionDate,totalFees,paidFees,address,parentName,parentPhone
ENR2024001,Rahul,Kumar,rahul.kumar@example.com,9876543210,B.Tech Computer Science,2024-2028,2024-01-15,500000,100000,"123 MG Road Mumbai",Mr. Suresh Kumar,9876543211
ENR2024002,Priya,Sharma,priya.sharma@example.com,9876543212,B.Tech Information Technology,2024-2028,2024-01-16,450000,150000,"456 Park Street Kolkata",Mrs. Anjali Sharma,9876543213
ENR2024003,Amit,Patel,amit.patel@example.com,9876543214,BBA,2024-2027,2024-01-17,300000,100000,"789 Ring Road Ahmedabad",Mr. Ramesh Patel,9876543215
ENR2024004,Sneha,Reddy,sneha.reddy@example.com,9876543216,B.Tech Electronics,2024-2028,2024-01-18,480000,80000,"321 Banjara Hills Hyderabad",Mr. Venkat Reddy,9876543217
ENR2024005,Vikram,Singh,vikram.singh@example.com,9876543218,MBA,2024-2026,2024-01-20,600000,200000,"654 Civil Lines Delhi",Mrs. Meera Singh,9876543219
ENR2024006,Ananya,Gupta,ananya.gupta@example.com,9876543220,B.Tech Mechanical,2024-2028,2024-01-22,470000,120000,"987 Koramangala Bangalore",Mr. Rajesh Gupta,9876543221
ENR2024007,Rohan,Mehta,rohan.mehta@example.com,9876543222,BCA,2024-2027,2024-01-23,350000,100000,"147 FC Road Pune",Mrs. Kavita Mehta,9876543223
ENR2024008,Ishita,Joshi,ishita.joshi@example.com,9876543224,B.Tech Civil,2024-2028,2024-01-25,460000,90000,"258 Satellite Ahmedabad",Mr. Prakash Joshi,9876543225
ENR2024009,Arjun,Nair,arjun.nair@example.com,9876543226,B.Com,2024-2027,2024-01-26,280000,80000,"369 MG Road Kochi",Mrs. Lakshmi Nair,9876543227
ENR2024010,Divya,Iyer,divya.iyer@example.com,9876543228,M.Tech Computer Science,2024-2026,2024-01-28,550000,150000,"741 Anna Nagar Chennai",Mr. Krishnan Iyer,9876543229
